gtyp_Interface_Dashboard.Subscribe.State_Order.s_state,gtyp_Interface_Dashboard.Publish.PosPanTiltUnit.s_cmd,gtyp_VGR.di_Pos_DSI_Collect_vertical,gtyp_VGR.di_Pos_MPO_vertical,gtyp_VGR.di_Pos_HBW_Discard_vertical,gtyp_VGR.horizontal_Axis.di_Target_Position,gtyp_VGR.horizontal_Axis.di_Actual_Position,gtyp_VGR.horizontal_Axis.Config.di_Pos_Window,gtyp_VGR.horizontal_Axis.x_Start_Positioning,gtyp_VGR.horizontal_Axis.x_Reference,gtyp_VGR.horizontal_Axis.x_Referenced,gtyp_VGR.horizontal_Axis.x_Position_Reached,gtyp_VGR.horizontal_Axis.di_Increment,gtyp_VGR.horizontal_Axis.i_PWM,gtyp_VGR.vertical_Axis.di_Target_Position,gtyp_VGR.vertical_Axis.di_Actual_Position,gtyp_VGR.vertical_Axis.Config.di_Pos_Window,gtyp_VGR.vertical_Axis.x_Start_Positioning,gtyp_VGR.vertical_Axis.x_Reference,gtyp_VGR.vertical_Axis.x_Referenced,gtyp_VGR.vertical_Axis.x_Position_Reached,gtyp_VGR.vertical_Axis.di_Increment,gtyp_VGR.vertical_Axis.i_PWM,gtyp_VGR.rotate_Axis.di_Target_Position,gtyp_VGR.rotate_Axis.di_Actual_Position,gtyp_VGR.rotate_Axis.Config.di_Pos_Window,gtyp_VGR.rotate_Axis.x_Start_Positioning,gtyp_VGR.rotate_Axis.x_Reference,gtyp_VGR.rotate_Axis.x_Referenced,gtyp_VGR.rotate_Axis.x_Position_Reached,gtyp_VGR.rotate_Axis.di_Increment,gtyp_VGR.rotate_Axis.i_PWM,gtyp_VGR.di_Pos_DSI_horizontal,gtyp_VGR.di_Pos_MPO_horizontal,gtyp_VGR.di_Pos_HBW_horizontal,gtyp_VGR.di_Pos_DSI_rotate,gtyp_VGR.di_Pos_MPO_rotate,QX_VGR_Compressor_Q7
ORDERED,,2950,1800,200,3400,755,15,TRUE,FALSE,TRUE,FALSE,1033,500,1150,1155,15,FALSE,FALSE,TRUE,TRUE,1155,800,3500,3503,15,FALSE,FALSE,TRUE,TRUE,3503,500,20,3400,600,30,3500,FALSE
IN_PROCESS,,2950,1800,200,3400,0,15,FALSE,FALSE,TRUE,FALSE,0,500,1150,0,15,FALSE,FALSE,TRUE,FALSE,0,800,3500,0,15,FALSE,FALSE,TRUE,FALSE,0,500,20,3400,600,30,3500,TRUE
IN_PROCESS,,2950,1800,200,900,668,15,TRUE,FALSE,TRUE,FALSE,896,500,1250,1244,15,FALSE,FALSE,TRUE,FALSE,1309,800,700,705,15,FALSE,FALSE,TRUE,TRUE,705,500,20,3400,600,30,3500,TRUE
WAITING_FOR_ORDER,,2950,1800,200,900,894,15,FALSE,FALSE,TRUE,TRUE,894,500,2450,2454,15,FALSE,FALSE,TRUE,TRUE,2454,800,700,699,15,FALSE,FALSE,TRUE,TRUE,699,500,20,3400,600,30,3500,TRUE
WAITING_FOR_ORDER,,2950,1800,200,600,315,15,FALSE,TRUE,FALSE,FALSE,0,500,200,0,15,FALSE,FALSE,TRUE,FALSE,0,800,5350,5035,15,FALSE,TRUE,FALSE,FALSE,4845,500,20,3400,600,30,3500,FALSE
WAITING_FOR_ORDER,,2950,1800,200,600,0,15,FALSE,FALSE,TRUE,FALSE,0,500,200,0,15,FALSE,FALSE,TRUE,FALSE,0,800,5350,0,15,FALSE,FALSE,TRUE,FALSE,0,500,20,3400,600,30,3500,TRUE
ORDERED,,2950,1800,200,3400,2770,15,TRUE,FALSE,TRUE,FALSE,2829,500,1150,1163,15,FALSE,FALSE,TRUE,TRUE,1163,800,3500,3501,15,FALSE,FALSE,TRUE,TRUE,3501,500,20,3400,600,30,3500,FALSE
IN_PROCESS,,2950,1800,200,3400,0,15,FALSE,FALSE,TRUE,FALSE,0,500,1150,0,15,FALSE,FALSE,TRUE,FALSE,0,800,3500,2824,15,FALSE,TRUE,FALSE,FALSE,2824,500,20,3400,600,30,3500,TRUE
IN_PROCESS,,2950,1800,200,900,896,15,FALSE,FALSE,TRUE,TRUE,896,500,2450,2457,15,FALSE,FALSE,TRUE,TRUE,2457,800,700,700,15,FALSE,FALSE,TRUE,TRUE,700,500,20,3400,600,30,3500,FALSE
SHIPPED,,2950,1800,200,2070,0,15,FALSE,FALSE,TRUE,FALSE,0,500,1480,0,15,FALSE,FALSE,TRUE,FALSE,0,800,970,0,15,FALSE,FALSE,TRUE,FALSE,0,500,20,3400,600,30,3500,FALSE
