gtyp_VGR.di_Pos_HBW_rotate,gtyp_VGR.di_Pos_NFC_vertical,gtyp_VGR.di_Pos_NFC_horizontal,gtyp_VGR.di_Pos_NFC_rotate,gtyp_VGR.di_Pos_Color_vertical,gtyp_VGR.di_Pos_Color_horizontal,gtyp_VGR.di_Pos_Color_rotate,gtyp_VGR.di_Offset_Pos_DSI_NFC_vertical,gtyp_VGR.x_NFC_Completed,gtyp_VGR.x_NFC_Start,gtyp_VGR.x_HBW_PickedUp,gtyp_VGR.x_NFC_Start_First,gtyp_VGR.x_HBW_Outsource,gtyp_VGR.x_MPO_Discards,gtyp_VGR.di_Pos_DSO_horizontal,gtyp_VGR.di_Pos_DSO_Discard_vertical,gtyp_VGR.di_Pos_DSO_rotate,gtyp_VGR.di_Pos_HBW_Collect_vertical,gtyp_VGR.di_Offset_Pos_MPO_vertical,gtyp_VGR.di_Pos_NiO_horizontal,gtyp_VGR.di_Pos_NiO_vertical,gtyp_VGR.di_Pos_NiO_rotate,gtyp_VGR.x_Workpiece_NiO,gtyp_VGR.x_Ready_For_Outsource,gtyp_VGR.x_State_Process,gtyp_VGR.x_Park_Position_Reached,gtyp_VGR.x_Start_Park_Position,gtyp_VGR.di_Pos_Park_horizontal,gtyp_VGR.di_Pos_Park_vertical,gtyp_VGR.di_Pos_Park_rotate,gtyp_MPO.x_MPO_Discards_Accepted,gtyp_MPO.x_Discard_Ready,gtyp_MPO.x_Error,gtyp_SSC.Horizontal_Axis.di_Target_Position,gtyp_SSC.Horizontal_Axis.di_Actual_Position,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Soft_Switch,gtyp_SSC.Horizontal_Axis.Config.di_Neg_Soft_Switch,gtyp_SSC.Horizontal_Axis.Config.di_Pos_Window,gtyp_SSC.Horizontal_Axis.x_Start_Positioning,gtyp_SSC.Horizontal_Axis.x_Reference,QX_HBW_M2_HorizontalTowardsRack_Q3
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,25852,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,6831,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,True,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,-13526,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,32266,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,13750,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,-3956,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,-23879,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,2591,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,26044,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,True,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,-12111,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,True,False,0,15115,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,True,False,False,150,3000,1750,False,False,False,0,-19897,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,True,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,False,True,False,False,150,3000,1750,False,False,False,0,3489,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,True,False,False,2070,1480,970,650,650,0,2700,1100,False,False,False,False,False,150,3000,1750,False,False,False,0,28977,5450,0,25,False,True,False
5350,2450,900,700,2450,150,430,1200,False,False,False,False,False,False,2070,1480,970,650,650,0,2700,1100,False,True,False,False,False,150,3000,1750,False,False,False,0,-10985,5450,0,25,False,True,False
