IW7,QW0,IW0,MW0
22601,28408,43113,19660
23298,10218,28408,19660
23972,0,10218,19660
24588,0,0,19660
25140,0,0,19660
25666,0,0,19660
26224,0,0,19660
26771,0,0,19660
27289,0,0,19660
27625,0,0,19660
27616,0,0,19660
27606,0,0,19660
27596,0,0,19660
27587,0,0,19660
27577,0,0,19660
27567,0,0,19660
27558,0,0,19660
27548,0,0,19660
27538,0,0,19660
27529,0,0,19660
27519,0,0,19660
27509,0,0,19660
27500,0,0,19660
27490,0,0,19660
27480,0,0,19660
27471,0,0,19660
27428,0,0,19660
27355,0,0,19660
27249,0,0,19660
27114,0,0,19660
26946,0,0,19660
26748,0,0,19660
26521,0,0,19660
26261,0,0,19660
25972,0,0,19660
25654,0,0,19660
25306,0,0,19660
24934,0,0,19660
24533,0,0,19660
24107,0,0,19660
23657,0,0,19660
23182,0,0,19660
22682,0,0,19660
22158,0,0,19660
21613,0,0,19660
21048,0,0,19660
20463,0,0,19660
19861,0,0,19660
19243,4170,2085,19660
18609,9425,4170,19660
17964,17905,9425,19660
17308,29665,17905,19660
16642,44755,29665,19660
15971,63200,44755,19660
15294,65535,63200,19660
14614,65535,65535,19660
13928,65535,65535,19660
13238,65535,65535,19660
12543,65535,65535,19660
11846,65535,65535,19660
11149,65535,65535,19660
10455,65535,65535,19660
9764,65535,65535,19660
9081,65535,65535,19660
8404,65535,65535,19660
7736,65535,65535,19660
7079,65535,65535,19660
6433,65535,65535,19660
5799,65535,65535,19660
5182,65535,65535,19660
4580,65535,65535,19660
3998,65535,65535,19660
3437,65535,65535,19660
2896,65535,65535,19660
2380,65535,65535,19660
1888,65535,65535,19660
1421,65535,65535,19660
983,65535,65535,19660
573,65535,65535,19660
193,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
0,65535,65535,19660
25,65535,65535,19660
84,65535,65535,19660
181,65535,65535,19660
312,65535,65535,19660
477,65535,65535,19660
677,65535,65535,19660
910,65535,65535,19660
1178,65535,65535,19660
1476,65535,65535,19660
1808,65535,65535,19660
2170,65535,65535,19660
2567,65535,65535,19660
2994,65535,65535,19660
3452,65535,65535,19660
3935,65535,65535,19660
4444,65535,65535,19660
4970,65535,65535,19660
5519,65535,65535,19660
6092,65535,65535,19660
7332,65535,65535,19660
7986,65535,65535,19660
7986,65535,65535,19660
8657,65535,65535,19660
10053,65535,65535,19660
10773,65535,65535,19660
11507,65535,65535,19660
12251,65535,65535,19660
13008,65535,65535,19660
13766,65535,65535,19660
14503,65535,65535,19660
15236,65535,65535,19660
15966,65535,65535,19660
16704,65535,65535,19660
17476,65535,65535,19660
18245,65535,65535,19660
19011,65535,65535,19660
19769,64990,65535,19660
20520,60690,64990,19660
21258,52699,60689,19660
21984,37449,49069,19660
22693,22284,37449,19660
23382,3674,22284,19660
24050,0,3674,19660
24689,0,0,19660
25309,0,0,19660
25902,0,0,19660
26474,0,0,19660
27020,0,0,19660
27537,0,0,19660
27781,0,0,19660
27771,0,0,19660
27762,0,0,19660
27752,0,0,19660
27742,0,0,19660
27732,0,0,19660
27723,0,0,19660
27713,0,0,19660
27703,0,0,19660
27693,0,0,19660
27684,0,0,19660
27674,0,0,19660
27664,0,0,19660
27654,0,0,19660
27645,0,0,19660
27635,0,0,19660
27625,0,0,19660
27582,0,0,19660
27509,0,0,19660
27403,0,0,19660
27267,0,0,19660
27097,0,0,19660
26898,0,0,19660
26670,0,0,19660
26413,0,0,19660
26127,0,0,19660
25810,0,0,19660
25465,0,0,19660
25091,0,0,19660
24692,0,0,19660
24264,0,0,19660
23811,0,0,19660
23333,0,0,19660
