IW8,MW2,QW2,IW4
53782,55295,0,0
53746,55295,0,0
53710,55295,0,0
53674,55295,0,0
53638,55295,0,0
53602,55295,0,0
53566,55295,0,0
53530,55295,0,0
53494,55295,0,0
53459,55295,0,0
53423,55295,0,0
53388,55295,0,0
53352,55295,0,0
53317,55295,0,0
53281,55295,0,0
53246,55295,0,0
53211,55295,0,0
53176,55295,0,0
53141,55295,0,0
53107,55295,0,0
53072,55295,0,0
53037,55295,0,0
53003,55295,0,0
52969,55295,0,0
52938,55295,0,0
52910,55295,0,0
52891,55295,0,0
52886,55295,0,0
52899,55295,0,0
52936,55295,0,0
53003,55295,0,0
53073,55295,0,0
53143,55295,0,0
53213,55295,0,0
53283,55295,0,0
53354,55295,0,0
53424,55295,0,0
53494,55295,0,0
53564,55295,0,0
53635,55295,0,0
53705,55295,0,0
53775,55295,0,0
53846,55295,0,0
53916,55295,0,0
53986,55295,0,0
54057,55295,0,0
54127,55295,0,0
54198,55295,0,0
54268,55295,0,0
54338,55295,0,0
54409,55295,0,0
54479,55295,0,0
54550,55295,0,0
54620,55295,0,0
54691,55295,0,0
54761,55295,0,0
54831,55295,0,0
54902,55295,0,0
54972,55295,0,0
55042,55295,0,0
55112,55295,0,0
55182,55295,0,0
55252,55295,0,0
55322,55295,17280,0
55392,55295,65535,17280
55458,55295,65535,65535
55442,55295,65535,65535
55221,55295,18176,65535
54999,55295,0,18176
54788,55295,0,0
54782,55295,0,0
54852,55295,0,0
54922,55295,0,0
54992,55295,0,0
55062,55295,0,0
55132,55295,0,0
55202,55295,0,0
55272,55295,0,0
55341,55295,29440,0
55411,55295,65535,29440
55475,55295,65535,65535
55184,55295,0,65535
55184,55295,0,65535
54962,55295,0,0
54823,55295,0,0
54893,55295,0,0
54893,55295,0,0
55031,55295,0,0
55100,55295,0,0
55169,55295,0,0
55238,55295,0,0
55307,55295,7680,0
55375,55295,51199,7679
55442,55295,65535,58878
55466,55295,65535,65535
55270,55295,49535,65535
55047,55295,0,49535
54828,55295,0,0
54686,55295,0,0
54755,55295,0,0
54823,55295,0,0
54891,55295,0,0
